measure_id,measure_name,measure_short,parent_instrument_id,maps_to_node_id,measure_type,unit_of_measure,expected_range_min,expected_range_max,scoring_direction,clinical_cutoff_value,clinical_cutoff_direction,loading_b_k,intercept_a_k,reliability_alpha,reliability_type,cancer_validation_status,se_multiplier,assay_method,sample_type,collection_requirements,normative_population,norm_id,noise_id,time_resolution_days,aggregation_method,is_primary_for_node,alternative_measure_ids_json,somatic_confound_risk,mcid,floor_ceiling_risk,missing_data_strategy,tier_assignment,version,active,citation_key,notes,parameter_confidence
MEAS_6MWT_DISTANCE,6MWT Walk Distance,6MWT-m,INST_6MWT,NODE_SYM_DECONDITIONING,total_score,meters,0,900,higher_better,400,below,1.0,0.0,0.95,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,Rehabilitation (ATS 2002),NORM_6MWT_AGE,NOISE_6MWT_T,0,last,0,"[""MEAS_KPS_SCORE""]",none,30.0,ceiling,optional,N/A,v1.0,1,ATS2002,Distance in meters; <400m significant impairment; age/sex/height adjusted,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_ACCEL_STEPS,Accelerometry Steps/Day,Accel-steps,INST_ACCEL,NODE_BEH_PHYSICAL_ACTIVITY,wearable_stream,steps_per_day,0,50000,higher_better,5000,below,1.0,0.0,0.9,test_retest,used_in_cancer,1.1,N/A,N/A,7_day_minimum_wear,Device norms,NORM_ACCEL_GENERAL,NOISE_ACCEL_STEP,1,mean,0,"[""MEAS_IPAQ_TOTAL_MET""]",none,1000.0,floor,optional,1,v1.0,1,vanHees2015,"Objective PA; 7-day mean; <5000 sedentary, 5000-7500 low active, >10000 active",B_ranges_B_reliability_C_loading: device-dependent (B); loading/intercept placeholders (C)
MEAS_ACCEL_SLEEP_EFF,Accelerometry Sleep Efficiency,Accel-SE,INST_ACCEL,NODE_BEH_SLEEP_QUALITY,wearable_stream,percent,0,100,higher_better,85,below,1.0,0.0,0.85,test_retest,used_in_cancer,1.1,N/A,N/A,7_day_minimum_wear,Device norms,NORM_ACCEL_GENERAL,NOISE_ACCEL_SE,1,mean,0,"[""MEAS_PSQI_GLOBAL""]",none,5.0,ceiling,optional,1,v1.0,1,vanHees2015,Objective sleep efficiency; ≥85% normal; 7-day mean from wrist actigraphy,B_ranges_B_reliability_C_loading: device-dependent (B); loading/intercept placeholders (C)
MEAS_LSNS_TOTAL,LSNS-6 Social Network Total,LSNS-total,INST_LSNS,NODE_BEH_SOCIAL_ENGAGE,total_score,points_0_30,0,30,higher_better,12,below,1.0,0.0,0.83,internal_consistency,used_in_cancer,1.1,N/A,N/A,N/A,Community elderly (Lubben 2006),NORM_LSNS_ELDERLY,NOISE_LSNS_T,30,sum,1,[],none,3.0,ceiling,optional,N/A,v1.0,1,Lubben2006,<12 at risk for social isolation; each subscale 0-15,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_MEDDIET_SCORE,Mediterranean Diet Adherence,MedDiet-score,INST_MED_DIET,NODE_BEH_DIET,total_score,points_0_14,0,14,higher_better,9,below,1.0,0.0,0.75,test_retest,general_population,1.3,N/A,N/A,N/A,PREDIMED cohort,NORM_MEDDIET_PRED,NOISE_MEDDIET_T,7,sum,1,[],none,2.0,none,optional,N/A,v1.0,1,MartinezGonzalez2012,14-item screener; ≥9 good adherence,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_GSES_TOTAL,GSES Self-Efficacy Total,GSES-total,INST_GSES,NODE_BEH_SELF_EFFICACY,total_score,points_10_40,10,40,higher_better,N/A,N/A,1.0,0.0,0.86,internal_consistency,used_in_cancer,1.1,N/A,N/A,N/A,International norms (Schwarzer 1995),NORM_GSES_INTL,NOISE_GSES_T,0,sum,1,[],none,3.0,ceiling,optional,N/A,v1.0,1,Schwarzer1995,10-40 range; higher = greater self-efficacy,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_IL6_CONC,IL-6 Plasma Concentration,IL6-pg/mL,INST_IL6_PLASMA,NODE_BIO_IL6,assay_value,pg_mL,0,100,lower_better,3.0,above,-1.0,0.0,0.92,assay_cv,validated_in_cancer,1.0,hs_ELISA,plasma,fasting_preferred,Healthy adult <3.0 pg/mL,NORM_IL6_HEALTHY,NOISE_IL6_T,0,last,1,[],none,0.5,none,require,1,v1.0,1,Ridker2000,Log-transformed for analysis; CV <10%; fasting plasma,B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_CRP_CONC,hs-CRP Serum Concentration,CRP-mg/L,INST_CRP_HS,NODE_BIO_CRP,assay_value,mg_L,0,200,lower_better,3.0,above,-1.0,0.0,0.95,assay_cv,validated_in_cancer,1.0,immunoturbidimetric,serum,exclude_if_above_10_acute,"<1 low, 1-3 moderate, >3 high CV risk",NORM_CRP_CV,NOISE_CRP_T,0,last,1,[],none,0.5,none,require,1,v1.0,1,Ridker2003,Log-transformed; CV <5%; exclude >10 mg/L (acute infection),B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_TNF_CONC,TNF-α Plasma Concentration,TNFa-pg/mL,INST_TNF_PLASMA,NODE_BIO_TNF,assay_value,pg_mL,0,100,lower_better,N/A,N/A,-1.0,0.0,0.9,assay_cv,validated_in_cancer,1.0,hs_ELISA,plasma,fasting_preferred,Healthy adult <8.1 pg/mL,NORM_TNF_HEALTHY,NOISE_TNF_T,0,last,1,[],none,N/A,none,require,2,v1.0,1,Robak1998,Less stable than IL-6/CRP; log-transformed; CV <10%,B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_BDNF_CONC,Plasma BDNF Concentration,BDNF-pg/mL,INST_BDNF_PLASMA,NODE_BIO_BDNF,assay_value,pg_mL,0,50000,higher_better,N/A,N/A,1.0,0.0,0.88,assay_cv,validated_in_cancer,1.0,ELISA,plasma,fasting_morning_preferred,Wide range; plasma not serum,NORM_BDNF_HEALTHY,NOISE_BDNF_T,0,last,1,[],none,N/A,none,require,2,v1.0,1,Fernandes2015,PLASMA BDNF in pg/mL (typical range 100-40000 pg/mL); NOT ng/mL; ELISA kit-specific; fasting AM collection; PLASMA not serum (critical); CV 10-15%; unit_ucum: pg/mL,B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_CORTISOL_SLOPE,Salivary Cortisol Diurnal Slope,Cort-slope,INST_CORTISOL_SLOPE,NODE_BIO_CORTISOL,computed_index,ug_dL_per_hour,-0.5,0,lower_better,-0.09,above,-1.0,0.0,0.8,test_retest,validated_in_cancer,1.0,immunoassay,saliva,4_timepoints_2_days_minimum,Steeper (more negative) = healthier,NORM_CORTISOL_HEALTHY,NOISE_CORT_T,0,slope,1,[],none,0.01,none,require,2,v1.0,1,Adam2006,"Slope of 4 timepoints: wake, +30min, +8h, bedtime; ≥2 days; flatter = HPA dysregulation",C_loading_B_ranges: computation-dependent; loading/intercept are placeholders (C); ranges approximate (B)
MEAS_P16_EXPR,p16^INK4a T-Cell Expression Level,p16-expr,INST_P16_TCELL,NODE_BIO_P16,assay_value,relative_expression,0,100,lower_better,N/A,N/A,-1.0,0.0,0.85,assay_cv,validated_in_cancer,1.0,flow_cytometry_or_qRTPCR,peripheral_blood,T_cell_isolation,Age-adjusted (Sanoff 2014),NORM_P16_AGE,NOISE_P16_T,0,last,1,[],none,N/A,none,require,2,v1.0,1,Sanoff2014,Increases with biological aging; chemotherapy accelerates expression,B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_GH2AX_FOCI,γ-H2AX Foci Per Cell,gH2AX-foci,INST_GH2AX_LYMPH,NODE_BIO_GH2AX,assay_value,foci_per_cell,0,50,lower_better,N/A,N/A,-1.0,0.0,0.82,assay_cv,validated_in_cancer,1.0,immunofluorescence,peripheral_blood,lymphocyte_isolation,Healthy <0.5 foci/cell,NORM_GH2AX_HEALTHY,NOISE_GH2AX_T,0,last,1,[],none,N/A,none,require,2,v1.0,1,Bonner2008,DNA double-strand break marker; elevated post-chemotherapy and radiation,B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_8OHDG_CONC,8-OHdG Concentration,8OHdG-conc,INST_8OHDG,NODE_BIO_8OHDG,assay_value,ng_mL_or_ug_g_cr,0,100,lower_better,N/A,N/A,-1.0,0.0,0.88,assay_cv,validated_in_cancer,1.0,ELISA,urine_preferred_plasma_acceptable,spot_urine_or_fasting_plasma,Healthy adults,NORM_8OHDG_HEALTHY,NOISE_8OHDG_T,0,last,1,[],none,N/A,none,require,2,v1.0,1,Valavanidis2009,Oxidative DNA damage marker; urinary preferred for stability; creatinine-corrected,B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_MDA_CONC,MDA Plasma Concentration,MDA-conc,INST_MDA_PLASMA,NODE_BIO_MDA,assay_value,umol_L,0,20,lower_better,N/A,N/A,-1.0,0.0,0.85,assay_cv,validated_in_cancer,1.0,TBARS_or_HPLC,plasma,fasting_preferred,Healthy adults,NORM_MDA_HEALTHY,NOISE_MDA_T,0,last,1,[],none,N/A,none,require,2,v1.0,1,DelRio2005,Lipid peroxidation marker; HPLC more specific than TBARS,B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_GLUCOSE_FASTING,Fasting Glucose Concentration,Glucose-mg/dL,INST_GLUCOSE_FASTING,NODE_BIO_GLUCOSE,assay_value,mg_dL,50,500,lower_better,100,above,-1.0,0.0,0.95,assay_cv,validated_in_cancer,1.0,clinical_chemistry,plasma_or_serum,fasting_8h_minimum,ADA: <100 normal,NORM_GLUCOSE_ADA,NOISE_GLUCOSE_T,0,last,1,[],none,10.0,none,require,2,v1.0,1,ADA2023,"Standard clinical lab; <100 normal, 100-125 prediabetes, ≥126 diabetes",B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_NFL_CONC,NfL Plasma Concentration,NfL-pg/mL,INST_NFL_PLASMA,NODE_BIO_NFL,assay_value,pg_mL,0,1000,lower_better,N/A,N/A,-1.0,0.0,0.93,assay_cv,validated_in_cancer,1.0,Simoa,plasma,standard_phlebotomy,Age-adjusted (Khalil 2018),NORM_NFL_AGE,NOISE_NFL_T,0,last,1,[],none,N/A,none,require,2,v1.0,1,Khalil2018,Ultrasensitive Simoa immunoassay; neuroaxonal damage; age-dependent reference ranges,B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_SHANNON_H,Shannon Diversity Index (Gut),Shannon-H,INST_SHANNON_16S,NODE_BIO_SHANNON,assay_value,shannon_index,0,10,higher_better,N/A,N/A,1.0,0.0,0.75,test_retest,used_in_cancer,1.1,16S_rRNA_sequencing,fecal,fresh_or_stabilized_stool,Highly variable,NORM_SHANNON_HEALTHY,NOISE_SHANNON_T,0,last,1,[],none,N/A,none,require,2,v1.0,1,Knight2017,Higher = more diverse; batch effects significant; 16S rRNA sequencing,B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_APOE_STATUS,APOE e4 Carrier Status,APOE-status,INST_APOE_GENOTYPE,NODE_EXO_APOE,assay_value,ordinal_0_2,0,2,categorical,N/A,N/A,1.0,0.0,0.99,assay_cv,used_in_cancer,1.1,PCR_genotyping,peripheral_blood,one_time_test,Population allele frequencies,NORM_APOE_POP,NOISE_APOE_T,0,last,1,[],none,N/A,none,require,2,v1.0,1,Farrer1997,"0=non-carrier, 1=e4_heterozygous, 2=e4_homozygous; one-time test",B_ranges_B_reliability_C_loading: assay ranges from reference standards (B); CV from approximate kit specs (B); loading/intercept identity placeholders (C)
MEAS_PHQ2_SCREEN,PHQ-2 Depression Screen,PHQ2-screen,INST_PHQ2,NODE_SYM_DEPRESSION,total_score,points_0_6,0,6,lower_better,3,above,-1.0,6.0,0.83,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Primary care (Kroenke 2003),NORM_PHQ2_GENERAL,NOISE_PHQ2_T,14,sum,0,"[""MEAS_PHQ9_TOTAL""]",moderate,1.0,floor,optional,N/A,v1.0,1,Kroenke2003,Ultra-brief depression screen; ≥3 positive; use during active treatment,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_EORTC_COGNITION,EORTC QLQ-C30 Cognitive Function,EORTC-cog,INST_EORTC_C30,NODE_SYM_COG_COMPLAINTS,subscale,points_0_100,0,100,higher_better,N/A,N/A,0.8,0.0,0.72,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,International cancer patients (Aaronson 1993),NORM_EORTC_CANCER,NOISE_EORTC_COG,7,mean,0,"[""MEAS_AFI_TOTAL"", ""MEAS_FACTCOG_PCI_TOTAL""]",moderate,10.0,ceiling,optional,N/A,v1.0,1,Aaronson1993,2-item cognitive function subscale from QLQ-C30; limited sensitivity for CRCI,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_EORTC_NAUSEA,EORTC QLQ-C30 Nausea/Vomiting,EORTC-naus,INST_EORTC_C30,NODE_SYM_APPETITE,subscale,points_0_100,0,100,lower_better,N/A,N/A,-1.0,100.0,0.8,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,International cancer patients (Aaronson 1993),NORM_EORTC_CANCER,NOISE_EORTC_NAUS,7,mean,1,[],none,10.0,floor,optional,N/A,v1.0,1,Aaronson1993,Symptom scale: higher = worse; maps to appetite/nausea node,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_COGRESERVE_COMP,Cognitive Reserve Composite,CogRes-comp,INST_COG_RESERVE_COMP,NODE_EXO_COG_RESERVE,computed_index,z_score,-4,4,higher_better,N/A,N/A,1.0,0.0,0.78,internal_consistency,used_in_cancer,1.1,N/A,N/A,N/A,Population norms (Stern 2009),NORM_COGRESERVE_POP,NOISE_COGRESERVE_T,0,mean,1,[],none,0.5,none,optional,N/A,v1.0,1,Stern2009,Z-scored composite: education years + occupation complexity + reading-based IQ,C_loading_B_ranges: computation-dependent; loading/intercept are placeholders (C); ranges approximate (B)
MEAS_CAQ_TOTAL,CAQ Cognitive Activity Total,CAQ-total,INST_CAQ,NODE_BEH_COG_ACTIVITY,total_score,points_0_125,0,125,higher_better,N/A,N/A,1.0,0.0,0.82,internal_consistency,general_population,1.3,N/A,N/A,N/A,Community older adults (Wilson 2003),NORM_CAQ_ELDERLY,NOISE_CAQ_T,7,sum,1,[],none,N/A,none,optional,N/A,v1.0,1,Wilson2003,"Frequency of cognitively stimulating activities; reading, puzzles, games, etc.",A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_AGE_YEARS,Age at Diagnosis (years),Age-yrs,INST_CLINICAL_AGE,NODE_EXO_AGE,total_score,years,18,100,categorical,N/A,N/A,1.0,0.0,0.99,inter_rater,validated_in_cancer,1.0,N/A,N/A,N/A,N/A,NORM_AGE_POP,NOISE_AGE_T,0,last,1,[],none,N/A,none,require,0,v1.0,1,ClinicalRecord,Continuous 18-100; Tier 0; Oppegaard sample mean 57.2 (SD 12.4),A_verified: clinical record extraction; ranges definitional
MEAS_SEX_CATEGORY,Biological Sex Category,Sex-cat,INST_CLINICAL_SEX,NODE_EXO_SEX,total_score,category,0,2,categorical,N/A,N/A,1.0,0.0,0.99,inter_rater,validated_in_cancer,1.0,N/A,N/A,N/A,N/A,NORM_SEX_POP,NOISE_SEX_T,0,last,1,[],none,N/A,none,require,0,v1.0,1,ClinicalRecord,"0=male, 1=female, 2=other; Oppegaard sample 77.8% female",A_verified: clinical record extraction; ranges definitional
MEAS_CANCER_TYPE,Cancer Type Code,CType-code,INST_CLINICAL_CANCER_TYPE,NODE_EXO_CANCER_TYPE,total_score,category,0,9,categorical,N/A,N/A,1.0,0.0,0.99,inter_rater,validated_in_cancer,1.0,N/A,N/A,N/A,N/A,NORM_CANCER_TYPE,NOISE_CTYPE_T,0,last,1,[],none,N/A,none,require,0,v1.0,1,ClinicalRecord,Tier 0 required; 10-category ENUM per NODE_REGISTRY,A_verified: clinical record extraction; ranges definitional
MEAS_RADIATION_CAT,Radiation Exposure Category,Rad-cat,INST_CLINICAL_RADIATION,NODE_EXO_RADIATION,total_score,category,0,5,categorical,N/A,N/A,1.0,0.0,0.99,inter_rater,validated_in_cancer,1.0,N/A,N/A,N/A,N/A,NORM_RADIATION,NOISE_RAD_T,0,last,1,[],none,N/A,none,require,0,v1.0,1,ClinicalRecord,cranial/whole_brain/head_neck/thoracic/pelvic/none; cranial is highest CRCI risk,A_verified: clinical record extraction; ranges definitional
MEAS_TX_PHASE,Treatment Phase,TxPhase-cat,INST_CLINICAL_TX_PHASE,NODE_EXO_TX_PHASE,total_score,category,0,4,categorical,N/A,N/A,1.0,0.0,0.99,inter_rater,validated_in_cancer,1.0,N/A,N/A,N/A,N/A,NORM_TX_PHASE,NOISE_TXPH_T,0,last,1,[],none,N/A,none,require,0,v1.0,1,ClinicalRecord,Tier 0 required; 5-level ordinal; active_treatment is enrollment timepoint in Oppegaard,A_verified: clinical record extraction; ranges definitional
MEAS_TOL_TOTAL_CORRECT,Tower of London Total Correct,ToL-correct,INST_TOL,NODE_COG_EXEC_PLANNING,subscale,trials_correct,0,36,higher_better,N/A,N/A,1.0,0.0,0.79,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,Age-stratified (Culbertson 2001),NORM_TOL_AGE,NOISE_TOL_T,0,sum,1,[],low,N/A,none,optional,2,v1.0,1,Culbertson2001,Number of problems solved in minimum moves; planning efficiency measure,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_REY_COPY_ACCURACY,Rey Complex Figure Copy Accuracy,Rey-acc,INST_REY_COPY,NODE_COG_VISUOSPATIAL,subscale,points_0_36,0,36,higher_better,N/A,N/A,1.0,0.0,0.76,inter_rater,used_in_cancer,1.1,N/A,N/A,N/A,Age-stratified (Meyers 1995),NORM_REY_AGE,NOISE_REY_T,0,last,1,[],low,N/A,ceiling,optional,2,v1.0,1,Meyers1995,18-element scoring; copy condition for visuospatial construction,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_BNT_CORRECT,Boston Naming Test Total Correct,BNT-correct,INST_BNT,NODE_COG_LANGUAGE,total_score,items_correct,0,60,higher_better,N/A,N/A,1.0,0.0,0.9,internal_consistency,used_in_cancer,1.1,N/A,N/A,N/A,Age/education norms (Kaplan 2001),NORM_BNT_STRATIFIED,NOISE_BNT_T,0,sum,1,[],low,N/A,ceiling,optional,2,v1.0,1,Kaplan2001,Confrontation naming; 60-item or 15-item short form,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_PSQI_DISTURBANCES,PSQI Sleep Disturbances Component,PSQI-dist,INST_PSQI,NODE_SYM_SLEEP_DISRUPTION,component,points_0_3,0,3,lower_better,N/A,N/A,-0.85,3.0,0.7,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Healthy adults,NORM_PSQI_CANCER,NOISE_PSQI_DIST,30,sum,0,[],none,N/A,floor,optional,1,v1.0,1,Buysse1989,Component 5: frequency of sleep disturbances; 0-3 scoring,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_PSQI_DAYTIME,PSQI Daytime Dysfunction Component,PSQI-day,INST_PSQI,NODE_SYM_SLEEP_DISRUPTION,component,points_0_3,0,3,lower_better,N/A,N/A,-0.85,3.0,0.75,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Healthy adults,NORM_PSQI_CANCER,NOISE_PSQI_DAY,30,sum,0,[],low,N/A,floor,optional,1,v1.0,1,Buysse1989,Component 7: daytime dysfunction due to sleepiness; overlaps with fatigue/cognition,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_EORTC_FATIGUE,EORTC QLQ-C30 Fatigue,EORTC-fat,INST_EORTC_C30,NODE_SYM_FATIGUE,subscale,points_0_100,0,100,lower_better,N/A,N/A,-1.0,100.0,0.87,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,International cancer patients,NORM_EORTC_CANCER,NOISE_EORTC_FAT,7,mean,0,"[""MEAS_FACIT_F_TOTAL""]",moderate,10.0,none,optional,N/A,v1.0,1,Aaronson1993,Symptom scale: higher = worse fatigue; 3-item subscale,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_EORTC_GLOBAL,EORTC QLQ-C30 Global Health/QoL,EORTC-glob,INST_EORTC_C30,NODE_SYM_DECONDITIONING,subscale,points_0_100,0,100,higher_better,N/A,N/A,0.85,0.0,0.88,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,International cancer patients,NORM_EORTC_CANCER,NOISE_EORTC_GLOB,7,mean,0,[],none,10.0,none,optional,N/A,v1.0,1,Aaronson1993,Global health status/QoL; 2-item; higher = better; general functional indicator,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_IESR_INTRUSION,IES-R Intrusion Subscale,IESR-intrus,INST_IES_R,NODE_SYM_ANXIETY,subscale,points_0_32,0,32,lower_better,N/A,N/A,-0.9,32.0,0.94,internal_consistency,validated_in_cancer,1.0,N/A,N/A,N/A,Trauma samples (Weiss 1997),NORM_IESR_TRAUMA,NOISE_IESR_INT,7,sum,0,[],low,N/A,floor,optional,N/A,v1.0,1,Weiss1997,8-item intrusion subscale; cancer-related intrusive thoughts,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
MEAS_ACCEL_LIGHT,Accelerometry Light Exposure (>10k lux),Accel-lux,INST_ACCEL,NODE_BEH_LIGHT_EXPOSURE,wearable_stream,minutes_above_10k_lux,0,480,higher_better,30,below,1.0,0.0,0.8,test_retest,used_in_cancer,1.1,N/A,N/A,7_day_minimum_wear_with_light_sensor,Device norms,NORM_ACCEL_GENERAL,NOISE_ACCEL_LUX,1,mean,1,[],none,10.0,floor,optional,N/A,v1.0,1,vanHees2015,Minutes >10k lux within 2h of waking; requires light-enabled actigraphy device,B_ranges_B_reliability_C_loading: device-dependent (B); loading/intercept placeholders (C)
MEAS_STROOP_SELECTIVE,Stroop Selective Attention Score,Stroop-sel,INST_STROOP,NODE_COG_ATTN_SELECTIVE,subscale,color_naming_score,0,120,higher_better,N/A,N/A,1.0,0.0,0.78,test_retest,used_in_cancer,1.1,N/A,N/A,N/A,Age-stratified (Golden 2002),NORM_STROOP_AGE,NOISE_STROOP_SEL,0,last,1,"[""MEAS_CPT_DPRIME""]",low,N/A,none,optional,2,v1.0,1,Golden2002,Color naming condition; selective attention component; items correct in 45 seconds,A_ranges_B_reliability_C_loading: ranges from scoring manuals (A); reliability from published validation (B); loading/intercept identity placeholders (C)
