edge_relation_id,source_node_id,target_node_id,relation_type,mechanism_description,primary_pathway,secondary_pathways_json,expected_sign,functional_form,fallback_form,is_feedback_edge,feedback_loop_id,notes,version,active
ER_FATIGUE_PROCSPEED,NODE_SYM_FATIGUE,NODE_COG_PROC_SPEED,causal,Fatigue slows information processing through reduced neural activation efficiency,PW_C2_FATIGUE,[],negative,linear,linear,0,N/A,N/A,1,1
ER_SLEEP_ATTN,NODE_SYM_SLEEP_DISRUPTION,NODE_COG_ATTN_SUSTAINED,causal,Sleep disruption impairs sustained attention via adenosine accumulation and prefrontal hypoactivation,PW_C1_SLEEP,[],negative,linear,linear,0,N/A,N/A,1,1
ER_SLEEP_WORKMEM,NODE_SYM_SLEEP_DISRUPTION,NODE_COG_WORK_MEM,causal,Sleep disruption impairs working memory through disrupted prefrontal-hippocampal consolidation,PW_C1_SLEEP,[],negative,linear,linear,0,N/A,N/A,1,1
ER_SLEEP_EPISODIC,NODE_SYM_SLEEP_DISRUPTION,NODE_COG_EPISODIC_MEM,causal,Sleep disruption impairs memory consolidation during slow-wave sleep and REM,PW_C1_SLEEP,[],negative,linear,linear,0,N/A,N/A,1,1
ER_DEPRESSION_WORKMEM,NODE_SYM_DEPRESSION,NODE_COG_WORK_MEM,causal,Depression impairs working memory via rumination occupying limited-capacity resources,PW_C3_MOOD,[],negative,linear,linear,0,N/A,N/A,1,1
ER_DEPRESSION_EXEC,NODE_SYM_DEPRESSION,NODE_COG_EXEC_PLANNING,causal,Depression impairs executive planning through psychomotor retardation and motivational deficits,PW_C3_MOOD,[],negative,linear,linear,0,N/A,N/A,1,1
ER_ANXIETY_SELECTATTN,NODE_SYM_ANXIETY,NODE_COG_ATTN_SELECTIVE,causal,Anxiety impairs selective attention via attentional bias toward threat and difficulty disengaging,PW_C3_MOOD,[],negative,linear,linear,0,N/A,N/A,1,1
ER_DECONDITIONING_PROCSPEED,NODE_SYM_DECONDITIONING,NODE_COG_PROC_SPEED,associational,Physical deconditioning reduces cerebral blood flow and oxygen delivery → slower processing,PW_C2_FATIGUE,"[""PW_C4_VASCULAR_METABOLIC""]",negative,linear,linear,0,N/A,N/A,1,1
ER_COGCOMPLAINTS_EPISODIC,NODE_SYM_COG_COMPLAINTS,NODE_COG_EPISODIC_MEM,associational,Subjective complaints may reflect genuine episodic memory deficits; CAL complicates interpretation,PW_C3_MOOD,[],negative,linear,linear,0,N/A,Bidirectional in practice but modeled unidirectional here; CAL covariance handles feedback,1,1
ER_SOCIAL_DEPRESSION,NODE_BEH_SOCIAL_ENGAGE,NODE_SYM_DEPRESSION,associational,Social engagement buffers against depression; isolation amplifies depressive symptoms,PW_C5_SOCIAL,[],negative,linear,linear,0,N/A,N/A,1,1
ER_ACTIVITY_FATIGUE_DIRECT,NODE_BEH_PHYSICAL_ACTIVITY,NODE_SYM_FATIGUE,causal,"Regular exercise reduces cancer-related fatigue via anti-inflammatory, fitness, and self-efficacy mechanisms",PW_C2_FATIGUE,[],negative,hill,linear,0,N/A,Forward direction of LOOP_01. Activity (POS_UP) reduces fatigue (POS_DOWN) → negative,1,1
ER_SLEEP_DEPRESSION_FWD,NODE_BEH_SLEEP_QUALITY,NODE_SYM_DEPRESSION,causal,Good sleep quality protects against depression via emotional regulation and cortisol normalization,PW_C1_SLEEP,[],negative,linear,linear,0,N/A,Forward direction of LOOP_02,1,1
ER_SOCIAL_VERBAL,NODE_BEH_SOCIAL_ENGAGE,NODE_COG_VERBAL_FLUENCY,associational,Social interaction provides naturalistic verbal/cognitive stimulation maintaining verbal fluency,PW_C5_SOCIAL,[],positive,linear,linear,0,N/A,N/A,1,1
ER_SOCIAL_EXEC,NODE_BEH_SOCIAL_ENGAGE,NODE_COG_EXEC_PLANNING,associational,"Social engagement requires executive planning (scheduling, managing relationships) maintaining function",PW_C5_SOCIAL,[],positive,linear,linear,0,N/A,N/A,1,1
ER_ATTNSUST_CRCI,NODE_COG_ATTN_SUSTAINED,NODE_COMP_CRCI,causal,Inverse-variance-weighted contribution to composite CRCI score (Formula F-1),N/A_COMPOSITE_AGGREGATION,[],positive,linear,linear,0,N/A,"Structural aggregation edge — weight = 1/σ²_d, severity-weighted",1,1
ER_ATTNSEL_CRCI,NODE_COG_ATTN_SELECTIVE,NODE_COMP_CRCI,causal,Inverse-variance-weighted contribution to composite CRCI score (Formula F-1),N/A_COMPOSITE_AGGREGATION,[],positive,linear,linear,0,N/A,"Structural aggregation edge — weight = 1/σ²_d, severity-weighted",1,1
ER_PROCSPD_CRCI,NODE_COG_PROC_SPEED,NODE_COMP_CRCI,causal,Inverse-variance-weighted contribution to composite CRCI score (Formula F-1),N/A_COMPOSITE_AGGREGATION,[],positive,linear,linear,0,N/A,"Structural aggregation edge — weight = 1/σ²_d, severity-weighted",1,1
ER_WORKMEM_CRCI,NODE_COG_WORK_MEM,NODE_COMP_CRCI,causal,Inverse-variance-weighted contribution to composite CRCI score (Formula F-1),N/A_COMPOSITE_AGGREGATION,[],positive,linear,linear,0,N/A,"Structural aggregation edge — weight = 1/σ²_d, severity-weighted",1,1
ER_EPIMEM_CRCI,NODE_COG_EPISODIC_MEM,NODE_COMP_CRCI,causal,Inverse-variance-weighted contribution to composite CRCI score (Formula F-1),N/A_COMPOSITE_AGGREGATION,[],positive,linear,linear,0,N/A,"Structural aggregation edge — weight = 1/σ²_d, severity-weighted",1,1
ER_VERBAL_CRCI,NODE_COG_VERBAL_FLUENCY,NODE_COMP_CRCI,causal,Inverse-variance-weighted contribution to composite CRCI score (Formula F-1),N/A_COMPOSITE_AGGREGATION,[],positive,linear,linear,0,N/A,"Structural aggregation edge — weight = 1/σ²_d, severity-weighted",1,1
ER_EXECPLAN_CRCI,NODE_COG_EXEC_PLANNING,NODE_COMP_CRCI,causal,Inverse-variance-weighted contribution to composite CRCI score (Formula F-1),N/A_COMPOSITE_AGGREGATION,[],positive,linear,linear,0,N/A,"Structural aggregation edge — weight = 1/σ²_d, severity-weighted",1,1
ER_EXECINHIB_CRCI,NODE_COG_EXEC_INHIBITION,NODE_COMP_CRCI,causal,Inverse-variance-weighted contribution to composite CRCI score (Formula F-1),N/A_COMPOSITE_AGGREGATION,[],positive,linear,linear,0,N/A,"Structural aggregation edge — weight = 1/σ²_d, severity-weighted",1,1
ER_VISUOSP_CRCI,NODE_COG_VISUOSPATIAL,NODE_COMP_CRCI,causal,Inverse-variance-weighted contribution to composite CRCI score (Formula F-1),N/A_COMPOSITE_AGGREGATION,[],positive,linear,linear,0,N/A,"Structural aggregation edge — weight = 1/σ²_d, severity-weighted",1,1
ER_LANGUAGE_CRCI,NODE_COG_LANGUAGE,NODE_COMP_CRCI,causal,Inverse-variance-weighted contribution to composite CRCI score (Formula F-1),N/A_COMPOSITE_AGGREGATION,[],positive,linear,linear,0,N/A,"Structural aggregation edge — weight = 1/σ²_d, severity-weighted",1,1
ER_OIC_EPISODIC,NODE_PATH_OIC,NODE_COG_EPISODIC_MEM,causal,Neuroinflammation impairs hippocampal function → episodic memory encoding deficits,PW_M01_NEUROINFLAMMATION,[],negative,linear,linear,0,N/A,N/A,1,1
ER_OIC_ATTNSUST,NODE_PATH_OIC,NODE_COG_ATTN_SUSTAINED,causal,Neuroinflammation causes sickness behavior reducing sustained attentional capacity,PW_M01_NEUROINFLAMMATION,[],negative,linear,linear,0,N/A,N/A,1,1
ER_HPA_EPISODIC,NODE_PATH_HPA,NODE_COG_EPISODIC_MEM,causal,Chronic cortisol elevation damages hippocampal CA1 neurons via glucocorticoid receptor overactivation,PW_M03_HPA_DYSREGULATION,[],negative,linear,linear,0,N/A,N/A,1,1
ER_HPA_WORKMEM,NODE_PATH_HPA,NODE_COG_WORK_MEM,associational,HPA dysregulation impairs prefrontal cortex function needed for working memory,PW_M03_HPA_DYSREGULATION,[],negative,linear,linear,0,N/A,N/A,1,1
ER_NEUROPLAST_WORKMEM,NODE_PATH_NEUROPLASTICITY,NODE_COG_WORK_MEM,mechanistic,BDNF-mediated plasticity supports prefrontal working memory circuit maintenance,PW_M04_NEUROPLASTICITY,[],positive,linear,linear,0,N/A,N/A,1,1
ER_MYELIN_LANGUAGE,NODE_PATH_MYELIN,NODE_COG_LANGUAGE,associational,White matter integrity supports language processing via arcuate fasciculus and other tracts,PW_M16_MYELIN,[],positive,linear,linear,0,N/A,N/A,1,1
ER_APOE_OIC,NODE_EXO_APOE,NODE_PATH_OIC,associational,APOE e4 carriers show amplified neuroinflammatory response to chemotherapy via impaired amyloid clearance and enhanced microglial activation,PW_M01_NEUROINFLAMMATION,"[""PW_M04_NEUROPLASTICITY""]",positive,linear,linear,0,N/A,Grade A modifier (Pearce 2022). Also attenuates exercise→BDNF benefit (captured in modifier_definitions). APOE POS_DOWN: e4 carrier (higher risk) → more OIC → positive sign.,1,1
ER_SEX_HPA,NODE_EXO_SEX,NODE_PATH_HPA,associational,"Biological sex modifies HPA axis reactivity; estrogen withdrawal (menopause, aromatase inhibitors) amplifies cortisol dysregulation in women",PW_M03_HPA_DYSREGULATION,[],context_dependent,linear,linear,0,N/A,"CATEGORICAL source: sex-specific effects on HPA, not monotonic. Endocrine therapy interactions relevant for breast cancer survivors.",1,1

ER_COGACTIVITY_WORKMEM,NODE_BEH_COG_ACTIVITY,NODE_COG_WORK_MEM,causal,"Cognitive training (chunking, strategy rehearsal, method-of-loci) directly strengthens working memory circuits via use-dependent synaptic potentiation in prefrontal-parietal networks",PW_M15_SYNAPTIC,"["PW_M04_NEUROPLASTICITY"]",positive,linear,linear,0,N/A,"RCT evidence: Cherrier 2013 (d=0.79 Digit Span Backward p<0.01 n=28). Core CRCI rehabilitation target edge.",1,1
ER_COGACTIVITY_ATTN,NODE_BEH_COG_ACTIVITY,NODE_COG_ATTN_SUSTAINED,causal,"Attention training (chunking and repetition) improves sustained attention capacity via strengthened top-down attentional control and prefrontal activation",PW_M15_SYNAPTIC,"["PW_M04_NEUROPLASTICITY"]",positive,linear,linear,0,N/A,"RCT evidence: Cherrier 2013 (d=0.59 Digit Span Total p<0.01 n=28). Primary objective attention outcome.",1,1
ER_COGACTIVITY_COGCOMPLAINTS,NODE_BEH_COG_ACTIVITY,NODE_SYM_COG_COMPLAINTS,causal,"Cognitive rehabilitation reduces subjective cognitive complaints via improved compensatory strategy use and self-efficacy; wait-list control bias risk: HIGH for subjective outcomes",PW_M15_SYNAPTIC,"["PW_C3_MOOD"]",negative,linear,linear,0,N/A,"RCT evidence: Cherrier 2013 FACT-Cog (d=0.53 p<0.01 n=28). Negative sign: more cogactivity->fewer complaints (COG_COMPLAINTS POS_UP). Downweight 0.7x due to unblinded wait-list.",1,1
ER_COGACTIVITY_EPIMEM,NODE_BEH_COG_ACTIVITY,NODE_COG_EPISODIC_MEM,causal,"Memory strategy training (method-of-loci, spaced retrieval) may enhance episodic memory encoding; evidence emerging and weaker than working memory effects",PW_M04_NEUROPLASTICITY,"["PW_M15_SYNAPTIC"]",positive,linear,linear,0,N/A,"Trend evidence: Cherrier 2013 RAVLT Delayed (d=0.25 p<0.10 NS n=28). Fragile estimate.",1,1ER_ACTIVITY_PROC_SPEED,NODE_BEH_PHYSICAL_ACTIVITY,NODE_COG_PROC_SPEED,causal,"Aerobic exercise improves processing speed via increased cerebral blood flow, white matter integrity, and catecholamine optimization in frontal-striatal circuits",PW_M04_NEUROPLASTICITY,"[""PW_M01_NEUROINFLAMMATION""]",positive,hill,linear,0,N/A,"RCT evidence: Campbell 2017 (TMT-A adj diff -14.2s p<0.01 partial_eta_sq=0.35 n=19). TMT-A lower=better so positive direction for exercise benefit.",1,1
ER_ACTIVITY_VERBAL_FLUENCY,NODE_BEH_PHYSICAL_ACTIVITY,NODE_COG_VERBAL_FLUENCY,causal,"Aerobic exercise may improve verbal fluency via BDNF-mediated hippocampal and prefrontal neuroplasticity supporting phonological and semantic retrieval",PW_M04_NEUROPLASTICITY,"[""PW_M01_NEUROINFLAMMATION""]",positive,hill,linear,0,N/A,"Trend evidence: Campbell 2017 (Animal fluency adj diff +3.0 p=0.15 partial_eta_sq=0.13 n=19). Direction positive, not statistically significant.",1,1
ER_ACTIVITY_EPIMEM,NODE_BEH_PHYSICAL_ACTIVITY,NODE_COG_EPISODIC_MEM,causal,"Aerobic exercise may enhance episodic memory via BDNF-driven hippocampal neurogenesis and improved encoding/consolidation processes",PW_M04_NEUROPLASTICITY,[],positive,hill,linear,0,N/A,"Null evidence: Campbell 2017 (HVLT total recall adj diff -1.5 p=0.52 partial_eta_sq=0.03 n=19). Effect absent in this pilot; constrain with wide SE.",1,1
ER_ACTIVITY_COG_COMPLAINTS,NODE_BEH_PHYSICAL_ACTIVITY,NODE_SYM_COG_COMPLAINTS,causal,"Aerobic exercise may reduce subjective cognitive complaints via reduced fatigue, improved mood, and increased self-efficacy alongside objective cognitive gains",PW_C2_FATIGUE,"[""PW_M04_NEUROPLASTICITY"", ""PW_C3_MOOD""]",negative,hill,linear,0,N/A,"Null evidence so far: Campbell 2017 FACT-Cog PCI adj diff +3.9 p=0.44 partial_eta_sq=0.04 n=19. Negative sign: more activity -> fewer complaints (COG_COMPLAINTS POS_UP).",1,1
